date,trades,volume_usd,gross_pnl,fees,net_pnl
2024-08-10,88,11339.29,0.0,50.0831879,-50.0831879
2024-08-11,24,44230.21,847.7766200000001,40.931287,806.845333
2024-08-12,48,54167.32,858.6705000000001,36.071895,822.598605
2024-08-13,23,20797.87,212.08102,17.932876999999998,194.148143
2024-08-14,25,66710.03,2168.9015130000003,46.493106,2122.4084070000004
2024-08-15,12,1522.3700000000001,0.0,16.50261,-16.50261
2024-08-16,35,166382.84,825.230544,81.187942,744.042602
2024-08-17,30,30248.96,-288.283113,17.096539,-305.379652
2024-08-18,15,62804.48,307.201888,21.981557000000002,285.220331
2024-08-19,8,100315.03,339.69958299999996,35.110258,304.58932500000003
2024-08-20,12,49914.8,192.602844,17.470174,175.13267000000002
2024-08-21,145,104990.41,656.200925,36.746583,619.454342
2024-08-23,10,63509.56,1005.30527,22.228341999999998,983.076928
2024-08-24,7,34999.67,0.0,12.249882,-12.249882
2024-08-25,17,21950.28,0.0,26.303603,-26.303603
2024-08-26,6,92611.27,231.236918,32.302932,198.933986
2024-08-27,50,70250.16,0.0,52.053552,-52.053552
2024-08-28,9,71160.06999999999,1333.359645,24.906026,1308.453619
2024-08-29,1,9995.85,0.0,3.498547,-3.498547
2024-08-30,6,37233.24,256.464,13.031175999999999,243.432824
2024-08-31,34,107507.43000000001,10.882801,39.955315,-29.072513999999998
2024-09-01,12,12359.68,137.433093,4.325861,133.107232
2024-09-02,2,30000.42,0.0,10.500148,-10.500148
2024-09-04,34,131480.97,1065.785132,63.570226999999996,1002.214905
2024-09-05,1,0.84,0.0,0.0,0.0
2024-09-06,42,39047.1,-1104.856765,13.666476,-1118.523241
2024-09-08,1,0.11,0.0,0.0,0.0
2024-09-09,2,4014.4300000000003,0.0,34.9079,-34.9079
2024-09-10,3,2547.28,-219.729659,7.2904,-227.020059
2024-09-11,1,0.54,0.0,0.0,0.0
2024-09-14,11,1014.8000000000001,0.0,30.381330000000002,-30.381330000000002
2024-09-18,145,13633.5,-878.684794,31.732943,-910.417737
2024-09-19,19,1521.8700000000001,0.0,28.60766,-28.60766
2024-09-20,16,332873.38,9585.03428,109.317031,9475.717249
2024-09-21,23,165648.12,36165.56933,57.976841,36107.592489
2024-09-22,3,19999.739999999998,0.0,6.999907,-6.999907
2024-09-23,2,40334.29,334.760796,14.117002000000001,320.643794
2024-09-24,10,7118.63,0.0,12.966142,-12.966142
2024-09-25,9,52754.130000000005,0.0,17.764677,-17.764677
2024-09-26,8,113711.93000000001,439.812513,31.348204,408.464309
2024-09-27,56,126097.04,0.0,37.503311,-37.503311
2024-09-28,4,29199.21,0.0,2.8031200000000003,-2.8031200000000003
2024-09-30,106,214669.85,2710.626288,65.637576,2644.988712
2024-10-01,4,139954.32,0.0,48.98401,-48.98401
2024-10-02,4,99954.34,0.0,34.984016999999994,-34.984016999999994
2024-10-03,9,132935.69,100.375782,46.527491000000005,53.848290999999996
2024-10-04,1,0.34,0.0,0.0,0.0
2024-10-05,37,605605.74,5767.161892,211.961771,5555.200121
2024-10-06,22,300130.56,130.487079,105.045693,25.441386
2024-10-07,21,219984.65,0.0,76.994616,-76.994616
2024-10-08,36,434584.13,5396.546638,152.10422,5244.4424180000005
2024-10-09,14,220399.93,396.06272,77.139967,318.922753
2024-10-10,16,300024.33999999997,0.0,105.00851,-105.00851
2024-10-11,26,488904.19,8885.327477,171.116194,8714.211283
2024-10-12,10,159713.4,541.55471,55.899685,485.65502499999997
2024-10-13,10,60002.42,0.0,21.000841,-21.000841
2024-10-14,5,61916.020000000004,1913.61958,21.670604,1891.948976
2024-10-15,7,81173.36,1170.2260760000001,28.410673,1141.815403
2024-10-16,11,80229.17,219.480876,28.080204000000002,191.400672
2024-10-17,9,140531.75,36.11496,49.186107,-13.071147000000003
2024-10-18,6,120331.43000000001,333.219141,42.115998,291.103143
2024-10-19,4,99996.86,0.0,34.998901000000004,-34.998901000000004
2024-10-20,96,176447.86000000002,389.155797,59.257459,329.898338
2024-10-21,173,324117.99,2464.915564,109.858043,2355.057521
2024-10-22,3,60000.36,0.0,21.000124,-21.000124
