date,trades,accounts,coins,volume_usd,gross_pnl,fees,net_pnl,win_rate,value,classification,sentiment_bucket
2024-03-17,23,3,4,99506.95,503.293955,33.763329,469.5306259999999,0.43478260869565216,79.0,Extreme Greed,"(74.0, 94.0]"
2024-03-18,19,3,3,90458.08,1456.9577,24.943279999999998,1432.01442,0.3157894736842105,77.0,Extreme Greed,"(74.0, 94.0]"
2024-03-19,24,3,4,219884.84,668.797973,25.988312,642.809661,0.20833333333333334,79.0,Extreme Greed,"(74.0, 94.0]"
2024-03-20,69,2,6,215705.85,6423.134599,39.878838,6383.255760999999,0.8695652173913043,74.0,Greed,"(67.0, 74.0]"
2024-03-21,28,3,3,117895.57,2335.5080749999997,16.394750000000002,2319.1133250000003,0.8214285714285714,78.0,Extreme Greed,"(74.0, 94.0]"
2024-03-24,19,1,1,92592.20999999999,1297.018477,8.888837,1288.12964,0.7894736842105263,74.0,Greed,"(67.0, 74.0]"
2024-03-25,7,1,1,57116.32,1302.916428,19.990712,1282.925716,0.8571428571428571,75.0,Extreme Greed,"(74.0, 94.0]"
2024-03-26,118,2,3,198565.19,3215.906593,28.147402999999997,3187.7591899999998,0.9322033898305084,81.0,Extreme Greed,"(74.0, 94.0]"
2024-03-27,38,2,3,99864.79,150.41114,31.717952,118.693188,0.3157894736842105,83.0,Extreme Greed,"(74.0, 94.0]"
2024-03-28,13,2,2,35323.72,227.85100799999998,9.059229,218.791779,0.6923076923076923,80.0,Extreme Greed,"(74.0, 94.0]"
2024-03-29,15,1,1,86914.37,883.097404,30.420029999999997,852.677374,0.4,79.0,Extreme Greed,"(74.0, 94.0]"
2024-03-30,45,1,1,101103.92,1100.57514,9.939454,1090.635686,0.9777777777777777,75.0,Extreme Greed,"(74.0, 94.0]"
2024-03-31,13,1,1,39912.96,912.786145,13.969522000000001,898.8166229999999,0.7692307692307693,75.0,Extreme Greed,"(74.0, 94.0]"
2024-04-01,77,2,4,339470.47,2507.963406,83.751362,2424.212044,0.5454545454545454,79.0,Extreme Greed,"(74.0, 94.0]"
2024-04-02,41,2,3,239664.50999999998,883.760812,80.13257399999999,803.628238,0.2926829268292683,79.0,Extreme Greed,"(74.0, 94.0]"
2024-04-03,4,2,2,16887.57,126.7884,1.661201,125.12719899999999,0.25,71.0,Greed,"(67.0, 74.0]"
