Coin,trades,active_days,volume_usd,gross_pnl,fees,net_pnl,net_pnl_per_1k_volume
@95,2,1,120.78,-29.438061,1.132768,-30.570829,-253.11168239774796
TON,30,4,53812.28,-18.09871,18.833978000000002,-36.932688,-0.6863245341026248
FIL,5,1,19806.989999999998,-35.27859,4.951744000000001,-40.230334,-2.031118004300502
@49,5,2,959.28,-40.712216999999995,0.37440680000000004,-41.0866238,-42.83068947543992
@112,7,5,759.63,-52.114723999999995,5.9003179999999995,-58.015041999999994,-76.37276305569816
@9,3,3,242.32,-58.564889,1.8389963,-60.4038853,-249.2732143446682
BANANA,8,4,1078.52,-81.48518800000001,0.26962600000000003,-81.75481400000001,-75.80277973519269
@4,885,49,87457.2,-95.963977,17.595607,-113.55958399999994,-1.298458949063084
@124,8,2,1173.08,-128.603876,0.29957404,-128.90345004,-109.88462000886555
@2,5,2,999.88,-0.907946,131.04356700000002,-131.951513,-131.96734908188984
FXS,101,10,113054.22,-121.92971200000001,28.939717,-150.869429,-1.3344873725191329
CANTO,10,2,20132.280000000002,-188.49813000000003,5.032861,-193.530991,-9.612969370582963
@8,276,23,44809.65,162.720529,466.588252,-303.867723,-6.781300969768789
@51,220,17,18319.94,-330.876576,5.76111253,-336.63768853,-18.375479861287758
@14,17,2,849.28,0.0,343.66645,-343.66645,-404.65623822532024
@147,5,1,612.5600000000001,-350.632694,0.205813,-350.838507,-572.7414571633799
OM,43,8,13968.95,-775.0843229999999,4.657621,-779.741944,-55.81965315932837
@20,39,10,1087.94,4.738087999999999,814.484598,-809.74651,-744.2933525745904
@83,36,7,1426.41,-1087.633355,0.38405022,-1088.01740522,-762.7662489887199
CRV,138,9,121969.81999999999,-1249.722505,31.910579000000002,-1281.633084,-10.50778859885175
ZEN,30,3,38169.05,-1475.390707,1.363601,-1476.754308,-38.689836608456325
STRK,48,13,83026.4,-1517.376015,10.103218,-1527.479233,-18.397512514091904
NIL,226,1,481868.22,-3175.273635,159.411132,-3334.6847669999997,-6.920325160683973
@135,1,1,15.56,-5981.36399,0.005226,-5981.369216,-384406.76195372746
POPCAT,1152,44,803456.85,-7922.181871,190.697891,-8112.879762,-10.097467912558093
S,144,4,224183.08,-8644.845718,32.092767,-8676.938485,-38.70469834297932
KAITO,435,18,897912.98,-8735.140961,212.65371,-8947.794671,-9.965102265255148
PAXG,1265,5,3047336.39,-18688.874329,568.814553,-19257.688882,-6.3195152806874715
IO,352,28,252981.67,-21893.910518,83.55143,-21977.461948,-86.87373258307606
